Product_id,Product_name,Product_description_english,Product_description_arabic,Img,Product_page_link,Product_price,Discount,Price_after_discount,Points,Coupon
6500,The best chick,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19751.jpg,https://muqbis.com/product/detail/6500/The-best-chick,280,10,252,50,DropMe
6499,Captain GYM Mug,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19711.jpg,https://muqbis.com/product/detail/6499/Captain-GYM-Mug,300,10,270,50,DropMe
6498,Pharmacist mug,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19709.jpg,https://muqbis.com/product/detail/6498/Pharmacist-mug,280,10,252,50,DropMe
6493,Emoji cat,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19680.jpg,https://muqbis.com/product/detail/6493/Emoji-cat,280,10,252,50,DropMe
6442,Mug engineer,Engineer mug with polymer clay,كوب المهندس بطين البوليمر,https://cdn1.muqbis.com/attachments/05-23/19505.jpg,https://muqbis.com/product/detail/6442/Mug-engineer,300,10,270,50,DropMe
6441,Makeup cup,Makeup cup with polymer clay,كوب المكياج مع طين البوليمر,https://cdn1.muqbis.com/attachments/05-23/19502.jpg,https://muqbis.com/product/detail/6441/Makeup-cup,250,10,225,50,DropMe
6440,Birds mug,Birds mug with polymer clay,كوب الطيور مع طين البوليمر,https://cdn1.muqbis.com/attachments/05-23/19500.jpg,https://muqbis.com/product/detail/6440/Birds-mug,280,10,252,50,DropMe
6439,Lovers mug,Mugs with polymer clay for lovers,أكواب من طين البوليمر للعشاق,https://cdn1.muqbis.com/attachments/05-23/19498.jpg,https://muqbis.com/product/detail/6439/Lovers-mug,500,10,450,100,DropMe
6436,Pikachu mug,<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,كوب بوليمر كلاي ثلاثي الأبعاد. صناعة يدوية 100%. * يمكن استخدامه مع المشروبات الباردة والساخنة. \n * غسيل يدوي فقط. \n * لا تستخدم في الميكروويف. \n *من الممكن إضافة اسم إلى الكوب. \n *متوفر تغيير لون الكوب,https://cdn1.muqbis.com/attachments/05-23/19495.png,https://muqbis.com/product/detail/6436/Pikachu-mug,325,10,292٫5,50,DropMe
6434,Cute rabbit girl,<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p> <p>* The price is including the spoon&nbsp;</p>,كوب بوليمر كلاي ثلاثي الأبعاد. صناعة يدوية 100%. * يمكن استخدامه مع المشروبات الباردة والساخنة. \n * غسيل يدوي فقط. \n * لا تستخدم في الميكروويف. \n *من الممكن إضافة اسم إلى الكوب. \n *متوفر تغيير لون الكوب. * السعر شامل الملعقة,https://cdn1.muqbis.com/attachments/05-23/19493.png,https://muqbis.com/product/detail/6434/Cute-rabbit-girl,350,10,315,100,DropMe
6433,Nescafé lovers (7),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19491.png,https://muqbis.com/product/detail/6433/Nescaf--lovers--7-,325,10,292٫5,50,DropMe
6432,Tea lovers (6),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>&nbsp;</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p> & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19488.png,https://muqbis.com/product/detail/6432/Tea-lovers--6-,250,10,225,50,DropMe
6427,Coffee mix lovers (1),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19478.png,https://muqbis.com/product/detail/6427/Coffee-mix-lovers--1-,275,10,247٫5,50,DropMe
6426,Customized Portrait mug (33),<p>Customized portrait mug using Polymer clay (3D mug not printed)</p> <p>100% handmade</p> <p>*Can be done for any personal photo (for one person).</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> قدح صورة مخصصة باستخدام طين البوليمر (القدح ثلاثي الأبعاد غير مطبوع) </p> <p> 100 ٪ مصنوع يدويًا </p> <p>*يمكن القيام به لأي صورة شخصية (لشخص واحد). </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p> <p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p> من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19475.png,https://muqbis.com/product/detail/6426/Customized-Portrait-mug--33-,400,10,360,100,DropMe
6398,Teacher mug,<p>Yellow customized mug</p> <p>Polymer clay&nbsp;</p> <p>Can be customized by name</p> <p>For Cold and Hot drink</p> <p>Don&#39;t put it in microwave or dishwasher</p>,<p> يمكن تخصيص القدح المخصص الأصفر </p> <p> طين البوليمر & nbsp ؛ </p> <p> ؛ ر وضعه في الميكروويف أو غسالة الصحون </p>,https://cdn1.muqbis.com/attachments/05-23/19351.jpg,https://muqbis.com/product/detail/6398/Teacher-mug,280,10,252,50,DropMe
6395,Engineer girl,<p>Polymer clay mug</p> <p>Engineer girl</p> <p>Can be customized by name</p> <p>For Cold and Hot drink&nbsp;</p> <p>Don&#39;t put it in microwave or dishwasher</p>,<p> القدح الطين البوليمر </p> <p> يمكن تخصيص فتاة مهندس </p> <p> بالاسم </p> <p> للشراب البارد والساخن و nbsp ؛ </p> <p> don &#39 ؛ ر وضعه في الميكروويف أو غسالة الصحون </p>,https://cdn1.muqbis.com/attachments/05-23/19348.jpg,https://muqbis.com/product/detail/6395/Engineer-girl,270,10,243,50,DropMe
6364,Happy minion,<p>Polymer clay mug</p> <p>Minion on white mug&nbsp;</p> <p>Can be customized by name</p> <p>For Cold and Hot drink</p> <p>Don&#39;t put it in microwave or dishwasher</p> <p>&nbsp;</p>,<p> القدح الطين البوليمر </p> <p> Minion على القدح الأبيض و NBSP ؛ </p> <p> يمكن تخصيصه بالاسم </p> <p> للشراب البارد والساخن </p> <p> don & #39 ؛ t ضعه في الميكروويف أو غسالة الصحون </p> <p> & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19265.jpg,https://muqbis.com/product/detail/6364/Happy-minion,270,10,243,50,DropMe
6346,Tea lovers (5),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19231.jpg,https://muqbis.com/product/detail/6346/Tea-lovers--5-,300,10,270,50,DropMe
6345,Barbi mug,<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19237.jpg,https://muqbis.com/product/detail/6345/Barbi-mug,300,10,270,50,DropMe
6344,Space mug,<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19236.jpg,https://muqbis.com/product/detail/6344/Space-mug,300,10,270,50,DropMe
6343,New mummy (3),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p> <p>The price is including the spoon&nbsp;</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p> <p> يتضمن السعر ملعقة و nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19235.jpg,https://muqbis.com/product/detail/6343/New-mummy--3-,340,10,306,100,DropMe
6342,New mummy (2),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19234.jpg,https://muqbis.com/product/detail/6342/New-mummy--2-,310,10,279,50,DropMe
6341,Cute giraffe,<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p> <p>The price is including the spoon&nbsp;</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p> <p> يتضمن السعر ملعقة و nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19233.jpg,https://muqbis.com/product/detail/6341/Cute-giraffe,340,10,306,100,DropMe
6340,Tea lovers mug (4),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/17167.jpg,https://muqbis.com/product/detail/6340/Tea-lovers-mug--4-,300,10,270,50,DropMe
6339,Om kalthom mug,<p>Customized portrait mug using Polymer clay (3D mug not printed)</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح المخصص للبوليمر باستخدام طين البوليمر (القدح ثلاثي الأبعاد غير مطبوع) </p> <p> 100 ٪ مصنوع يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p> <p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19230.jpg,https://muqbis.com/product/detail/6339/Om-kalthom-mug,410,10,369,100,DropMe
6338,King mug,<p>Customized portrait mug using Polymer clay (3D mug not printed)</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> القدح المخصص للبوليمر باستخدام طين البوليمر (القدح ثلاثي الأبعاد غير مطبوع) </p> <p> 100 ٪ مصنوع يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p> <p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19229.jpg,https://muqbis.com/product/detail/6338/King-mug,350,10,315,100,DropMe
6337,Candy mug (3),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p> <p>The price is including the spoon&nbsp;</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p> <p> يتضمن السعر ملعقة و nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19228.jpg,https://muqbis.com/product/detail/6337/Candy-mug--3-,340,10,306,100,DropMe
6336,Candy mug (2),<p>Polymer clay 3D mug</p> <p>100% handmade</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p> <p>The price is including the spoon&nbsp;</p>,<p> القدح البوليمري الطين 3D </p> <p> 100 ٪ مصنوعة يدويًا </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p>* من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p> <p> يتضمن السعر ملعقة و nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19227.jpg,https://muqbis.com/product/detail/6336/Candy-mug--2-,340,10,306,100,DropMe
6333,Cute duck car hanger,<p>Cute duck car hanger handmade from polymer clay&nbsp;</p> <p>height : 8 cm</p> <p>width : 5 cm</p> <p>&nbsp;</p>,<p> شماعات البط اللطيفة التي تم تصميمها يدويًا من البوليمرات و nbsp ؛ </p> <p> الارتفاع: 8 سم </p> <p> العرض: 5 سم </p> <p> & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19218.jpeg,https://muqbis.com/product/detail/6333/Cute-duck-car-hanger,290,10,261,50,DropMe
6315,Customized Portrait mug (32),<p>Customized portrait mug using Polymer clay (3D mug not printed)</p> <p>100% handmade</p> <p>*Can be done for any personal photo (for one person).</p> <p>* Can be used with cold and hot drinks.</p> <p>* Hand wash only.</p> <p>* Do not be used in microwave.</p> <p>*It is possible to add a name to the mug</p> <p>* Changing the mug colour is available</p>,<p> قدح صورة مخصصة باستخدام طين البوليمر (القدح ثلاثي الأبعاد غير مطبوع) </p> <p> 100 ٪ مصنوع يدويًا </p> <p>*يمكن القيام به لأي صورة شخصية (لشخص واحد). </p> <p>* يمكن استخدامها مع المشروبات الباردة والساخنة. </p> <p>* غسل اليد فقط. </p> <p>* لا تستخدم في الميكروويف. </p> <p> من الممكن إضافة اسم إلى القدح </p> <p>* تغيير لون القدح متاح </p>,https://cdn1.muqbis.com/attachments/05-23/19172.jpg,https://muqbis.com/product/detail/6315/Customized-Portrait-mug--32-,450,10,405,100,DropMe
6304,duck mug blue,"<p><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">يمكنك إضافة اسم &nbsp;</font></font></p>","<p> <font style = ""alsal-align: ernerit ؛""> <font style = ""alsal-align: errant ؛",https://cdn1.muqbis.com/attachments/05-23/19128.jpg,https://muqbis.com/product/detail/6304/duck-mug-blue,290,10,261,50,DropMe
6241,Stitch mug,"<p>A porcelain mug decorated with polymer clay with a&nbsp;Handmade&nbsp;design of stitch for kids</p> <p>&nbsp;The mug could be used with both hot and cold drinks.&nbsp;</p> <p>Do not wash it on a dish washer to keep it for a long time.</p> <p>No oven or microwave.</p> <p>to wash the mug, please use a soft sponge or scrub brush and dish soap, and avoid metal and/or abrasive sponges.</p> <p>&quot;Mug color may vary according to availability.&quot;</p>",<p> كوب من الخزف مزينة بالطين البوليمر مع A & nbsp ؛ مصنوعة يدويًا & nbsp ؛ تصميم غرزة للأطفال </p> <p> & nbsp ؛ يمكن استخدام القدح مع كل من المشروبات الساخنة والباردة. & nbsp ؛ </p> <p> <p> <p> لا تغسلها على غسالة طبق للحفاظ عليها لفترة طويلة. </p> <p> لا يوجد فرن أو ميكروويف. </p> <p> لغسل القدح ، يرجى استخدام اسفنجة ناعمة أو فرشاة فرك وطبق الصابون ، وتجنب الإسفنج المعدني و/أو الكاشطة. </p> <p> & quot ؛ قد يختلف لون القدح وفقًا للتوفر. & quot ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/18952.jpeg,https://muqbis.com/product/detail/6241/Stitch-mug,280,10,252,50,DropMe
6240,Cute girl with bouquet,"<p>A porcelain mug decorated with polymer clay with &nbsp;a&nbsp;Handmade&nbsp;design of a cute girl with flower bouquet&nbsp;</p> <p>&nbsp;The mug could be used with both hot and cold drinks.&nbsp;</p> <p>Do not wash it on a dish washer to keep it for a long time.</p> <p>No oven or microwave.</p> <p>to wash the mug, please use a soft sponge or scrub brush and dish soap, and avoid metal and/or abrasive sponges.</p> <p>&quot;Mug color may vary according to availability.&quot;</p>",<p> كوب من البورسلين مزينة بالطين البوليمر مع & nbsp ؛ a & nbsp ؛ مصنوعة يدويًا & nbsp ؛ تصميم فتاة لطيفة مع باقة زهرة & nbsp ؛ </p> <p> & nbsp ؛ يمكن استخدام القدح مع كل من المشروبات الساخنة والباردة. & nbsp ؛ <nbsp ؛ < /p> <p> لا تغسلها على غسالة طبق للحفاظ عليها لفترة طويلة. </p> <p> لا يوجد فرن أو ميكروويف. </p> لغسل القدح ، يرجى استخدام Soft الإسفنج أو فرشاة الفرك وصابون الطبق ، وتجنب الإسفنج المعدني و/أو الكاشطة. </p> <p> & quot ؛ قد يختلف لون القدح وفقًا للتوفر.,https://cdn1.muqbis.com/attachments/05-23/18951.jpeg,https://muqbis.com/product/detail/6240/Cute-girl-with-bouquet,300,10,270,50,DropMe
6212,Special cup of coffee,<p>1- Hot and cold drinks can be drunk in the cup<br /> 2- Wash with water and liquid soap with a sponge or toothbrush<br /> 3- Do not soak the cup in water and wash it immediately after drinking from it<br /> 4- Do not wash in the dishwasher<br /> 5- Do not wash with chlorine or very hot water<br /> 6- Do not enter the microwave&nbsp;</p>,<p> 1- يمكن أن تكون المشروبات الساخنة والباردة في حالة سكر في الكوب <br /> 2- غسل بالماء والصابون السائل مع إسفنجة أو فرشاة أسنان <br /> 3- شرب منه <br /> 4- لا تغسل في غسالة الصحون <br /> 5- لا تغسل بالمكلور أو الماء الساخن جدًا <br /> 6- لا تدخل الميكروويف و nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/18825.jpeg,https://muqbis.com/product/detail/6212/Special-cup-of-coffee,300,10,270,50,DropMe
6211,Mug by name,<p>1- Hot and cold drinks can be drunk in the cup<br /> 2- Wash with water and liquid soap with a sponge or toothbrush<br /> 3- Do not soak the cup in water and wash it immediately after drinking from it<br /> 4- Do not wash in the dishwasher<br /> 5- Do not wash with chlorine or very hot water<br /> 6- Do not enter the microwave&nbsp;</p>,<p> 1- يمكن أن تكون المشروبات الساخنة والباردة في حالة سكر في الكوب <br /> 2- غسل بالماء والصابون السائل مع إسفنجة أو فرشاة أسنان <br /> 3- شرب منه <br /> 4- لا تغسل في غسالة الصحون <br /> 5- لا تغسل بالمكلور أو الماء الساخن جدًا <br /> 6- لا تدخل الميكروويف و nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/18823.jpeg,https://muqbis.com/product/detail/6211/Mug-by-name,300,10,270,50,DropMe
